 ,Label,Circ.,AR,Round,Solidity
1,apple_1.jpg,0.375,1.975,0.506,0.803
2,apple_10.jpg,0.373,1.821,0.549,0.790
3,apple_100.jpg,0.421,2.069,0.483,0.841
4,apple_101.jpg,0.389,1.726,0.580,0.790
5,apple_102.jpg,0.475,1.510,0.662,0.855
6,apple_103.jpg,0.412,1.585,0.631,0.784
7,apple_104.jpg,0.522,1.495,0.669,0.868
8,apple_105.jpg,0.429,1.851,0.540,0.829
9,apple_106.jpg,0.504,1.610,0.621,0.856
10,apple_107.jpg,0.411,1.858,0.538,0.821
11,apple_108.jpg,0.445,1.757,0.569,0.835
12,apple_109.jpg,0.421,1.701,0.588,0.816
13,apple_11.jpg,0.350,2.294,0.436,0.789
14,apple_110.jpg,0.468,1.446,0.692,0.821
15,apple_111.jpg,0.430,1.689,0.592,0.829
16,apple_112.jpg,0.460,1.641,0.609,0.842
17,apple_113.jpg,0.506,1.512,0.661,0.879
18,apple_114.jpg,0.461,1.545,0.647,0.843
19,apple_115.jpg,0.427,1.470,0.680,0.795
20,apple_116.jpg,0.452,1.567,0.638,0.821
21,apple_117.jpg,0.440,1.462,0.684,0.815
22,apple_118.jpg,0.367,2.218,0.451,0.792
23,apple_119.jpg,0.375,1.909,0.524,0.770
24,apple_12.jpg,0.368,2.095,0.477,0.801
25,apple_120.jpg,0.350,2.160,0.463,0.783
26,apple_121.jpg,0.355,1.990,0.502,0.779
27,apple_122.jpg,0.320,2.198,0.455,0.753
28,apple_123.jpg,0.374,2.080,0.481,0.798
29,apple_124.jpg,0.457,1.535,0.652,0.838
30,apple_125.jpg,0.372,2.130,0.470,0.807
31,apple_126.jpg,0.350,2.263,0.442,0.804
32,apple_127.jpg,0.430,1.703,0.587,0.838
33,apple_128.jpg,0.453,1.751,0.571,0.875
34,apple_129.jpg,0.390,1.403,0.713,0.818
35,apple_13.jpg,0.402,1.970,0.508,0.815
36,apple_130.jpg,0.457,1.509,0.663,0.847
37,apple_131.jpg,0.470,1.347,0.742,0.836
38,apple_132.jpg,0.469,1.370,0.730,0.857
